Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
55,8,47,0,COM,Transbrasil Flight 303,Boeing 727-27C,"Morro da Virg°nia,ˇSanta Catarina, Brazil",APR,12-Apr-80,,
55,4,51,0,COM,Aeroflot Flight H-826,Antonov An-24B,"Preobrazhenka,ˇDnipropetrovsk, Ukraine",ENR,3-Aug-69,,
55,7,48,0,COM,Air Afrique (F-BIAO),Douglas DC-6B,"Mt. Cameroon, Cameroon",ENR,3-May-63,,
55,7,48,0,COM,TWA Flight 903,Lockheed L-749A,"Wadi Natrun, Egypt",ENR,31-Aug-50,,
55,4,51,0,COM,Eastern Air Lines Flight 537 and,Douglas DC-4ˇandˇLockheed P-38 Lightning,"Alexandria, Virginia, US",APR,1-Nov-49,,
54,7,47,0,COM,China Airlines Flight 204,Boeing 737-209,"Chiashan Mts.,ˇHualien City, Taiwan, China",ENR,26-Oct-89,,
54,5,49,0,COM,Pakistan International Airlines (AP-BBF),Fokker F-27 Friendship 200,"Bunji, Pakistan",ENR,25-Aug-89,,
54,2,52,0,COM,Aeroflot (CCCP-65120),Tupolev Tu-134AK,"near Kopsa,ˇKomi, Russia",ENR,2-Jul-86,,
54,4,50,0,COM,Alia Royal Jordanian Airlines Herald (JY-ACQ),Handley Page HPR-7 Herald 207,"Al-Dimas, Syria",ENR,10-Apr-65,,
54,5,49,0,COM,REAL Transportes AÇreos (PP-YRB),Convair CV-340-62,"Guanabara Bay, Brazil",APR,24-Jun-60,,
54,9,45,0,COM,TAI (F-BIAP),Douglas DC-7C,"MÇrignac, France",ICL,24-Sep-59,,
53,10,43,0,COM,Air France Flight 422,Boeing 727-230,"Monserrate Mtn., Bogot†, Colombia",ENR,20-Apr-98,,
53,6,47,0,COM,Federal Airlines (ST-FAG),Antonov An-24RV,"Khartoum North, Sudan",LDG,3-May-96,,
53,5,48,0,COM,Lineas AÇreas del Estado (TC-72) (1995),Fokker F-27 Friendship 400M,"nearˇChampaqui, C¢rdoba, Argentina",ENR,8-Nov-95,,
53,4,0,49,COM,Aeroservicios Ecuatorianos Flight 767-103,Douglas DC-8-55F,"Concepci¢n,ˇQuito Canton, Ecuador",TOF,18-Sep-84,,
53,2,51,0,COM,Nigeria Airways (5N-ANF),Fokker F-28 Fellowship 2000,"Enugu, Nigeria",APR,28-Nov-83,,
53,5,48,0,COM,LOT Polish Airlines Flight 165,Antonov An-24W,"Polica Mtn., Poland",ENR,2-Apr-69,,
53,1,52,0,COM,Strato-Freight (NC92857),Curtiss C-46D-5-CU,"Atlantic Ocean offˇSan Juan, Puerto Rico, US",ICL,7-Jun-49,,
53,4,49,0,COM,Eastern Air Lines Flight 605,Douglas DC-4,"Bainbridge, Maryland, US",ENR,30-May-47,,
53,4,49,0,COM,Avianca (C-114),Douglas DC-4,"Mt. Tablazo,ˇTulu†, Colombia",ENR,15-Feb-47,,
52,2,50,0,COM,Azerbaijan Airlines Flight A-56,Tupolev Tu-134B,"Nakhchivan, Azerbaijan",ICL,5-Dec-95,,
52,6,46,0,COM,Aeroflot Flight 1802,Antonov An-24RV,"Chernihiv, Ukraine",ENR,15-May-76,,
52,5,47,0,COM,Lineas AÇreas del Estado (TC-72) (1975),Fokker F-27 Friendship 400M,"Pilcaniyeu, Argentina",APR,16-Mar-75,,
52,4,48,0,COM,Aeroflot (CCCP-46809),Antonov An-24B,"Vinnytsia, Ukraine",APR,12-Nov-71,,
52,12,40,0,COM,Aerol°neas Argentinas Flight 322,de Havilland Comet 4,"Campinas, Brazil",ICL,23-Nov-61,,
52,8,44,0,COM,?SA Flight 511,Ilyushin Il-18,"GrÑfenberg, Germany",ENR,28-Mar-61,,
52,3,49,0,COM,Transports AÇriens Intercontinentaux (F-BGOD),Douglas DC-6B,"nearˇNew Cairo, Egypt",APR,20-Feb-56,,
52,0,52,0,COM,Pan Am Flight 526A,Douglas DC-4,"Atlantic Ocean, offˇSan Juan, Puerto Rico, US",ENR,11-Apr-52,,
52,12,40,0,COM,Air France (F-BDRC),LatÇcoäre 631,Atlantic Ocean,ENR,1-Aug-48,,
52,5,47,0,COM,United Airlines Flight 608,Douglas DC-6,"Bryce Canyon, Utah, US",ENR,24-Oct-47,,
51,5,46,0,COM,Intercontinental de Aviaci¢n Flight 256,Douglas DC-9-14,"nearˇMar°a La Baja, Colombia",APR,10-Jan-95,,
51,5,47,0,COM,Aeroflot (CCCP-87526),Yakovlev Yak-40,"Mt. Kukurtbash,ˇUntsukulsky, Dagestan, Russia",APR,7-Nov-91,,
51,6,45,0,COM,Air Mali (TZ-ACT),Antonov An-24B,"Timbuktu, Mali",ICL,22-Feb-85,,
51,6,45,0,COM,Soviet Navy (CCCP-42332),Tupolev Tu-104A,"Pushkinsky, Russia",ENR,7-Feb-81,,
51,6,45,0,COM,Aeroflot (CCCP-45061),Tupolev Tu-124V,"Karacharovo,ˇVolokolamsky, Russia",ENR,16-Dec-73,,
51,9,42,0,COM,Pan Am Flight 217,Boeing 707-321B,"Atlantic Ocean, offˇMaiquetia, Venezuela",APR,12-Dec-68,,
51,5,46,0,COM,Austral Lineas AÇreas Flight 205,Curtiss C-46A-50-CU,"Atlantic Ocean offˇMar del Plata, Argentina",APR,16-Jan-59,,
51,7,44,0,COM,Panair do Brasil Flight 099,Lockheed Constellation,"S?o Leopoldo, Brazil",ENR,28-Jul-50,,
50,5,44,1,COM,Colgan Air Flight 3407[nb 21],Bombardier DHC8-402 Q400,"Clarence Center, New York, US",APR,12-Feb-09,,
50,6,44,0,COM,Stavropolskaya Aktsionernaya Avia Flight 1023,Antonov An-24RV,"Cherkessk, Russia",ENR,18-Mar-97,,
50,4,46,0,COM,Philippine Airlines Flight 206,Hawker Siddeley HS 748-209 Srs.2,"Mt. Ugu,ˇBenguet, Philippines",APR,26-Jun-87,,
50,12,38,0,COM,Varig Flight 797,Boeing 707-320C,"Bingerville, Cìte d'Ivoire",APR,3-Jan-87,,
50,5,45,0,COM,Balkan Bulgarian Airlines (LZ-TUR),Tupolev Tu-134,"Sofia, Bulgaria",APR,10-Jan-84,,
50,3,47,0,COM,Spantax Flight 995,McDonnell Douglas DC-10-30,"M†laga, Spain",TOF,13-Sep-82,,
50,6,44,0,COM,Aeropesca Colombia Flight 221,Vickers Viscount 745D,"Garz¢n, Colombia",ENR,26-Aug-81,,
50,6,44,0,COM,Somali Airlines Flight 40,Fokker F27-600 Friendship,"Bal'ad District, Somalia",ENR,20-Jul-81,,
